date,code,open,high,low,close,volume,amount,adjustflag
2019/12/19,sz.000016,4.6,4.73,4.55,4.57,46891039,216792378.9,3
2019/12/20,sz.000016,4.52,4.59,4.46,4.48,30479690,137798806,3
2019/12/23,sz.000016,4.47,4.57,4.39,4.42,28565420,127935721.9,3
2019/12/24,sz.000016,4.42,4.48,4.39,4.47,15945807,70805988.32,3
2019/12/25,sz.000016,4.46,4.48,4.4,4.44,15113885,67138479.35,3
2019/12/26,sz.000016,4.44,4.55,4.42,4.48,20409466,91536215.08,3
2019/12/27,sz.000016,4.49,4.5,4.36,4.37,25135872,111573131.9,3
2019/12/30,sz.000016,4.35,4.41,4.29,4.39,21409907,93468187.38,3
2019/12/31,sz.000016,4.39,4.42,4.3,4.37,23803471,103970494.3,3
2020/1/2,sz.000016,4.4,4.53,4.39,4.46,27521192,122819660.3,3
2020/1/3,sz.000016,4.47,4.52,4.43,4.46,27377159,122290316.9,3
2020/1/6,sz.000016,4.44,4.46,4.35,4.41,34641817,152399777.2,3
2020/1/7,sz.000016,4.42,4.51,4.41,4.5,35861129,160050553.8,3
2020/1/8,sz.000016,4.46,4.63,4.44,4.48,48301731,218255967.9,3
2020/1/9,sz.000016,4.49,4.58,4.47,4.51,33341857,150750076.2,3
2020/1/10,sz.000016,4.51,4.53,4.45,4.48,18760500,84016353,3
2020/1/13,sz.000016,4.44,4.48,4.37,4.45,23927633,105605197.7,3
2020/1/14,sz.000016,4.45,4.55,4.42,4.53,42616808,191467727.3,3
2020/1/15,sz.000016,4.51,4.86,4.51,4.7,83059741,390350120.8,3
2020/1/16,sz.000016,4.74,4.76,4.65,4.69,36896003,173165003.1,3
2020/1/17,sz.000016,4.71,4.73,4.55,4.58,28145336,130340016.6,3
2020/1/20,sz.000016,4.58,4.68,4.48,4.65,29657687,136071482.5,3
2020/1/21,sz.000016,4.6,4.66,4.54,4.6,22477404,103409666.2,3
2020/1/22,sz.000016,4.54,4.78,4.52,4.74,37693582,176548854.8,3
2020/1/23,sz.000016,4.8,5.21,4.74,5.21,137399153,706140530.2,3
2020/2/3,sz.000016,4.69,5.09,4.69,4.69,140051965,681661316.6,3
2020/2/4,sz.000016,4.9,5.16,4.8,5.16,71489837,360163807.8,3
2020/2/5,sz.000016,5.68,5.68,5.68,5.68,4484313,25470897.84,3
2020/2/6,sz.000016,6.25,6.25,6.25,6.25,9028670,56429187.5,3
2020/2/7,sz.000016,6.88,6.88,6.88,6.88,10707556,73667985.28,3
2020/2/10,sz.000016,7.57,7.57,7.12,7.57,414056016,3106120173,3
2020/2/11,sz.000016,7.33,8.33,7.2,8.01,438917792,3384072114,3
2020/2/12,sz.000016,7.75,8.81,7.6,8.81,204138338,1683132350,3
2020/2/13,sz.000016,9.4,9.69,8.23,8.25,472822544,4308677035,3
2020/2/14,sz.000016,8.6,8.7,7.91,8.45,313329760,2628578295,3
2020/2/17,sz.000016,8.25,8.46,8.01,8.31,226208359,1867632870,3
2020/2/18,sz.000016,8.25,9.14,8.21,9.14,274042384,2370180369,3
2020/2/19,sz.000016,9.13,10.05,9,9.59,383855184,3732788913,3
2020/2/20,sz.000016,9.97,10.55,9.8,10.55,222001675,2259186487,3
2020/2/21,sz.000016,11.3,11.61,10.89,11.61,352303152,4028088266,3
2019/12/19,sz.000020,10.72,10.94,10.7,10.94,1508827,16384743.3,3
2019/12/20,sz.000020,10.93,10.97,10.74,10.78,1225039,13274016.18,3
